code,name
中壽,2823
國光生,4142
強新,5013
強茂,2481
品安,8088
光麗-KY,6431
晟田,4541
九暘,8040
正文,4906
志聖,2467
先豐,5349
幃翔,6185
詮欣,6205
雷笛克光學,5230
岱稜,3303
金雨,4503
勤益控,1437
易發,6425
大汽電,8931
誠泰科技,4767
曜越,3540
雃博,4106
夏都,2722
富邦恒生國企正2,00665L
寒舍,2739
健喬,4114
雷科,6207
光菱,8032
國泰20年美債正2,00688L
方土霖,4527
景岳,3164
味全,1201
廣宇,2328
元大全球AI,00762
國泰北美科技,00770
佳凌,4976
百達-KY,2236
中鋼構,2013
旭軟,3390
元大美債20正2,00680L
和康生,1783
橙的,4554
,
昇貿,3305
日馳,1526
富堡,8929
駿吉-KY,1591
東鹼,1708
台橡,2103
安克,4188
大華,9905
康師傅-DR,910322
艾華,6204
華星光,4979
元大台商50,0054
富邦印度,00652
三芳,1307
台驊投控,2636
匯僑,2904
大峽谷-KY,5281
亞都,5703
中信中國50正2,00753L
立萬利,3054
鉅祥,2476
中鋼,2002
元創精密,3685
榮科,4989
康舒,6282
FH美國金融股,00767 
國泰臺灣低波動30,00701
欣欣,2901
磐儀,3594
健椿,4561
群益NBI生技,00678
老爺知,5704
兆豐藍籌30,00690
達邦蛋白,6578
虹揚-KY,6573
台南,1473
富邦公司治理,00692
英業達,2356
第一金,2892
全坤建,2509
FH滬深,006207
愛山林,2540
中信中國50,00752
彰銀,2801
華晶科,3059
瑞智,4532
台揚,2314
泰山,1218
先益,3531
尖點,8021
,
單井,3490
東和鋼鐵,2006
順天,5525
安集,6477
同開,3018
新光ICE美國權值,00776
茂綸,6227
元大臺灣ESG永續,00850
宏璟,2527
泰詠,6266
大億金茂,8107
精技,2414
怡利電,2497
逸昌,3567
紅木-KY,8426
兆勁,2444
FH彭博新興債,00711B
宏盛,2534
羅昇,8374
均豪,5443
富邦日本正2,00640L
國泰AI+Robo,00737
兆豐電菁英30N,020004
千如,3236
群益道瓊美國地產,00714
西勝,3625
永昕,4726
廣穎,4973
佳世達,2352
富邦日本,00645
明泰,3380
宏普,2536
永豐外資50N,020005
集雅社,2937
鴻翊,3521
中信金,2891
菱光,8249
華南金,2880
興泰,1235
凱基臺灣500N,020007
大同,2371
光洋科,1785
信立,4303
新光內需收益,00742
統一FANG,00757
柏承,6141
旺旺保,2816
國泰標普低波高息,00702
年興,1451
豪勉,6218
,
三商,2905
晶彩科,3535
永昌中小300N,020006
中興電,1513
鼎天,3306
五福,2745
國泰中國A50,00636
元大S&P黃金,00635U
希華,2484
展旺,4167
元大S&P黃金正2,00708L
台新全球AI,00851
東聯,1710
三陽工業,2206
立敦,6175
保綠-KY,8423
台苯,1310
久裕,4173
全漢,3015
展匯科,6594
崇佑-KY,5543
晶采,8049
達欣工,2535
駿熠電,3642
第一金工業30,00728
所羅門,2359
綠意,2596
富邦歐洲,00709
華夏,1305
台產,2832
增你強,3028
協禧,3071
國建,2501
合庫金,5880
其祥-KY,1258
陞泰,8072
特力,2908
FH彭博高收益債,00710B
百容,2483
台蠟,1742
星通,3025
全科,3209
元大US高息特別股,00771
元大MSCI A股,00739
華頓S&P布蘭特正2,00715L
國眾,5410
國泰中國A150,00743
致振,3466
太景*-KY,4157
晶悅,2718
,
穆拉德加捷,4109
晉倫,6151
互億,6172
元山,6275
台境,8476
捷波,6161
永崴投控,3712
客思達-KY,2936
國泰臺韓科技,00735
聲寶,1604
光群雷,2461
台新MSCI中國,00703
嘉泥,1103
鑫聯大投控,3709
醣聯,4168
鑫科,3663
天剛,5310
元大S&P日圓反1,00707R
兆赫,2485
亞銳士,6171
元大韓國,00667
國泰新興市場,00736
元大金,2885
春雨,2012
FH香港,00649
巨庭,1539
銘旺實,4432
新光ShillerCAPE,00866
元大美元指數正2,00683L
大統染,1470
捷邦,1566
富邦恒生國企,00700
元大美元指數,00682U
富邦美國特別股,00717
盛餘,2029
富爾特,6136
元大全球未來通訊,00861
喬福,1540
三豐,5514
台紙,1902
益登,3048
富邦臺灣中小,00733
台新MSCI台灣反1,00705R
皇普,2528
巨虹,8084
台林,5353
華園,2702
合勤控,3704
洋華,3622
元大道瓊白銀,00738U
仲琦,2419
,
中化,1701
杏輝,1734
宏森,3522
中再保,2851
達威,5432
安鈦克,6276
益得,6461
冠好,8354
裕隆,2201
富邦臺灣加權正2,00675L
倉佑,1568
欣技,6160
厚生,2107
錩新,2415
正隆,1904
大恭,4706
台新MSCI台灣正2,00704L
興農,1712
仁寶,2324
富晶通,3623
運錩,2069
環泥,1104
信大,1109
寶聯通,5450
新復興,4909
鉅橡,8074
名軒,1442
懷特,4108
福永生技,4183
元大MSCI金融,0055
隆達,3698
滿心,2916
雙邦,6506
聚和,6509
國統,8936
元大美元指數反1,00684R
遠昇,3089
永彰,4523
榮剛,5009
國票道瓊銅,00763U
尚立,3360
寶一,8222
金益鼎,8390
佳龍,9955
萬海,2615
台航,2617
亞航,2630
東林,3609
第一金工業30反1,00729R
,
宏益,1452
長盛,3492
蒙恬,5211
FH富時不動產,00712
國喬,1312
茂矽,2342
資通,2471
萬在,4543
富邦臺灣優質高息,00730
全台,3038
樺晟,3202
揚智,3041
建漢,3062
海華,3694
譁裕,3419
福壽,1219
國化,1713
宏碁,2353
定穎,6251
明基材,8215
成霖,9934
吉源-KY,8488
威健,3033
英瑞-KY,1592
大世科,8099
元大寶滬深,0061
坤悅,5206
元大S&P日圓正2,00706L
建碁,3046
元大滬深300正2,00637L
亞昕,5213
欣巴巴,9906
新麗,9944
東浦,3290
華邦電,2344
燦坤,2430
日勝化,1735
光耀,3666
大詠城,4538
淳紳,4529
光聯,5315
捷泰,6165
谷崧,3607
元大S&P黃金反1,00674R
亞力,1514
博磊,3581
富邦中証500,00783
東泥,1110
榮創,3437
艾恩特,3646
東台,4526
鑫龍騰,3188
,
環天科,3499
群益臺灣加權正2,00685L
國泰美國道瓊正2,00852L
亞電,4939
東捷,8064
創威,6530
詠昇,6418
萬泰科,6190
力麗店,5364
花王,8906
大山,1615
毅嘉,2402
永日,4102
驊訊,6237
聯傑,3094
精聯,3652
佳能,2374
精成科,6191
圓展,3669
微端,3285
華頓S&P布蘭特反1,00716R
元大S&P石油,00642U
同泰,3321
聯光通,4903
北基,8927
熱映,3373
海灣,3252
國泰費城半導體,00830
華電網,6163
樂士,1529
凌群,2453
農林,2913
律勝,3354
佰鴻,3031
富旺,6219
國泰20年美債反1,00689R
常珵,8097
弘憶股,3312
新興,2605
裕國,8905
元大美債20反1,00681R
皇鼎,5533
龍燈-KY,4141
華建,2530
隆大,5519
華韡,5481
鴻名,3021
永光,1711
台通,8011
,
華泰,2329
亞聚,1308
安泰銀,2849
國揚,2505
恆大,1325
吉茂,1587
金像電,2368
龍邦,2514
昇陽,3266
勝悅-KY,1340
啟發電,6512
富強,5102
第一店,2706
環科,2413
美亞,2020
精星,8183
安碁,6174
聯電,2303
英濟,3294
川飛,1516
泰藝,8289
研通,6229
悅城,6405
高林股,1531
萬國通,9950
凱碩,8059
久陽,5011
六福,2705
鑫創,3259
和椿,6215
勝德,3296
華票,2820
斐成,3313
元禎,1725
旺玖,6233
力新,5202
九豪,6127
倍微,6270
倚強,3219
中櫃,2613
安可,3615
統振,6170
達運,6120
廣運,6125
昱捷,3232
展宇,1776
正道,1506
華頓S&P黃豆,00693U
偉全,1465
霖宏,5464
立凱-KY,5227
時報,8923
,
福貞-KY,8411
商之器,8409
聯穎,3550
合騏,8937
南仁湖,5905
元大S&P原油正2,00672L
元大S&P原油反1,00673R
台翰,1336
康聯訊,3672
捷必勝-KY,8418
智捷,8176
大立,4716
榮運,2607
台新金,2887
中天,4128
兆豐藍籌30反1,00691R
風青,2061
廷鑫,2358
第一保,2852
元富新中國N,020002
永捷,4714
寶島極,3115
華新,1605
松崗,6240
天品,6199
能率網通,8071
永純,4711
太普高,3284
晟銘電,3013
凌巨,8105
順發,6154
長榮航,2618
泰茂,2230
普安,2495
宜進,1457
大眾控,3701
宏大,8932
松上,6156
富驊,5465
光鋐,4956
洛碁,8077
新洲,3171
富邦日本反1,00641R
統一證,2855
聯上,4113
東友,5438
雙喜,5516
,
德淵,4720
銘異,3060
富邦恒生國企反1,00666R
上曜,1316
晉椿,2064
高野,2736
安國,8054
鼎元,2426
台聚,1304
全域,3067
元大富櫃50,006201
廣豐,1416
力肯,1570
天鉞電,5251
沈氏,8921
秋雨,9929
國產,2504
杭特,3297
青鋼,8930
全銓,8913
迎廣,6117
夆典,3052
萬企,2701
美吾華,1731
強盛,1463
富邦印度反1,00654R
綠電,8440
寶得利,5301
泰豐,2102
和鑫,3049
欣陸,3703
台端,3432
榮成,1909
寶隆,1906
和益,1709
台南-KY,5906
大展證,6020
裕豐,1438
泰偉,3064
永豐餘,1907
昇銳,3128
永豐金,2890
精英,2331
凌陽,2401
耀勝,3207
信音,6126
華孚,6235
宏旭-KY,2243
台硝,1724
浩鑫,2405
宏亞,1236
艾笛森,3591
宏齊,6168
,
旭源,8421
金利,5383
點晶,3288
信昌化,4725
唐鋒,4609
友訊,2332
國碩,2406
怡華,1456
臺企銀,2834
基泰,2538
晟鈦,3229
長榮,2603
華經,2468
高興昌,2008
凱崴,5498
擎邦,6122
優盛,4121
南璋,4712
富喬,1815
連宇,2482
彰源,2030
榮星,1617
炎洲,4306
同協,5460
泰聚亨-DR,911622
越峰,8121
高鋒,4510
哲固,3434
亞帝歐,3516
大略-KY,4804
元大滬深300反1,00638R
振維,3520
遠東銀,2845
精確,3162
如興,4414
中釉,1809
天宇,8171
沛亨,6291
群益深証中小,00643
達輝-KY,5276
國泰臺灣加權反1,00664R
台中銀,2812
振發,5426
大慶證,6021
凌泰,6198
統一實,9907
研勤,3632
金寶,2312
,
中華化,1727
海德威,3268
琉園,9949
新天地,8940
日勝生,2547
旭品,3325
國泰美國道瓊反1,00669R
新纖,1409
豐謙,5523
映泰,2399
三商壽,2867
白紗科,8401
聯昌,2431
台玻,1802
易飛網,2734
熒茂,4729
笙泉,3122
富邦NASDAQ反1,00671R
元大S&P500反1,00648R
陸海,5603
凱鈺,5468
無敵,8201
燦星網,4930
榮群,8034
易通展,6241
太設,2506
太子,2511
金麗-KY,8429
國泰日本反1,00659R
云辰,2390
高林,2906
麗臺,2465
志聯,2024
星雲,8047
訊達,6140
華東,8110
華豐,2109
國泰中國A50反1,00656R
國票金,2889
聯邦銀,2838
益航,2601
迎輝,3523
佳和,1449
阿瘦,8443
安瑞-KY,3664
鈺德,3050
擎亞,8096
歐格,3002
嘉鋼,2067
,
三商電,2427
台達化,1309
新美齊,2442
中電,1611
鄉林,5531
宏泰,1612
毛寶,1732
瑞軒,2489
聯成,1313
協易機,4533
佑華,8024
群益證,6005
南紡,1440
大亞,1609
台榮,1220
元大特股高息N,020008
昇華,4806
富強鑫,6603
元大台灣50反1,00632R
富邦深100,00639
驊宏資,6148
建達,6118
建國,5515
兆遠,4944
利華,1423
力麒,5512
雷虎,8033
康那香,9919
東森,2614
訊舟,3047
春源,2010
中環,2323
淇譽電,6247
德記,5902
圓剛,2417
新光金,2888
福裕,4513
迅杰,6243
上揚,6222
台火,9902
有益,9962
昶和,1468
嘉裕,1417
國泰美國道瓊+U,00668K
耿鼎,1524
彬台,3379
典範,3372
立益,1443
環泰,4207
地球,1324
,
士開,5324
高雄銀,2836
建通,2460
合邦,6103
宏洲,1413
華榮,1608
亞元,6109
台新MSCI中國正2,00766L
中鴻,2014
易威,1799
立碁,8111
中石化,1314
開發金,2883
磐亞,4707
日盛金,5820
弘裕,1474
吉祥全,2491
正達,3149
天良,4127
國泰日經225+U,00657K
新昕纖,4406
飛宏,2457
漢康,5205
力麗,1444
鈺創,5351
燁輝,2023
森寶,3489
福邦證,6026
致和證,5864
威致,2028
新鋼,2032
宏遠,1460
牧東,4950
佳大,2033
第一銅,2009
利奇,1517
華航,2610
欣厚-KY,4924
華紙,1905
寶徠,1805
憶聲,3024
宏易,4530
太空梭,2440
慧友,5484
建錩,5014
菱生,2369
精剛,1584
恩德,1528
宇環,3276
三晃,1721
,
合機,1618
康呈,6236
台開,2841
系統電,5309
邦泰,8935
FH香港反1,00651R
友達,2409
連展投控,3710
臺龍,6246
工信,5521
四維航,5608
南緯,1467
萬旭,6134
建舜電,3322
偉聯,9912
茂迪,6244
金橋,6133
普誠,6129
系通,5348
建暐,8092
聯上發,2537
光鼎,6226
大將,1453
和成,1810
矽統,2363
康和證,6016
得利影,6144
亞太電,3682
中纖,1718
一詮,2486
廣寰科,3287
昆盈,2365
集盛,1455
台富,1454
合世,1781
大東,1441
友勁,6142
麗正,2302
中工,2515
王道銀行,2897
商丞,8277
久正,6167
巨騰-DR,9136
李洲,3066
群創,3481
聚隆,1466
亞獅康-KY,6497
盛達,3027
幸福,1108
慶騰,4534
,
皇昌,2543
陽明,2609
神州-DR,910861
立德,3058
元晶,6443
麗嬰房,2911
方土昶,6265
志信,2611
華鎂鑫,8087
寶碩,5210
正德,2641
華義,3086
天蔥,2740
聯合再生能源,3576
百一,6152
海光,2038
東和,1414
志旭,8067
富邦上証+R,00625K
群益臺灣加權反1,00686R
力鵬,1447
錸德,2349
統懋,2434
愛之味,1217
國泰中國A50+U,00636K
大宇,1445
佶優,5452
東貝,2499
華興,6164
松普,5488
華容,5328
中福,1435
志嘉,5529
聯發,1459
和桐,1714
官田鋼,2017
彩晶,6116
宏遠證,6015
京晨科,6419
大魯閣,1432
亞矽,6113
全譜,6228
冠軍,1806
全友,2305
富邦臺灣加權反1,00676R
今皓,3011
勝昱,4304
誠美材,4960
元勝,4419
喬鼎,3057
,
立衛,5344
清惠,5259
力銘,3593
富裔,6264
富邦上証反1,00634R
大飲,1213
新建,2516
翔耀,2438
再生-KY,1337
頂晶科,3562
燦星旅,2719
福大,4402
保銳,8093
東華,1418
錦明,3230
聯德,3308
世紀,5314
富邦特選蘋果N,020000
太極,4934
太欣,5302
聚亨,2022
凱柏實業,3073
中視,9928
本盟,1475
達能,3686
佳總,5355
億泰,1616
晶宇,4131
天揚,5345
通訊-KY,6404
誠研,3494
正峰新,1538
燁興,2007
英格爾,8287
福華,8085
泰谷,3339
新世紀,3383
環瑞醫,4198
愛地雅,8933
瑞利,1512
友佳-DR,912398
虹光,2380
中美實,4702
尚茂,8291
富邦VIX,00677U
誠創,3536
華冠,8101
精熙-DR,9188
德宏,5475
悠克,6131
,
新利虹,2443
群益深証中小+R,00643K
力特,3051
泰金寶-DR,9105
合正,5381
鼎創達,5304
奧斯特,8080
科風,3043
倫飛,2364
及成,3095
首利,1471
新零售,3085
益通,3452
百徽,6259
晨訊科-DR,912000
天瀚,6225
恩得利,1333
越南控-DR,9110
劍湖山,5701
元隆,6287
東訊,2321
美德醫療-DR,9103
同方友友-DR,911868
華上,6289
明輝-DR,911608
杜康-DR,911616
陽光能源-DR,9157
聖馬丁-DR,910482
耀傑-DR,911619
